Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Lip	Tongue	5.6151638821	0.697299499826	5.3621939887	0.742699719982	0.433462174656	1.0
Other	Gingiva	5.03515591886	1.4230660843	5.7285897372	1.02837611684	-1.13147142469	1.0
Lip	Cheek	5.6151638821	0.697299499826	5.74293713945	0.0	0.129570344951	1.0
Tongue	Cheek	5.3621939887	0.742699719982	5.74293713945	0.0	0.433266211309	1.0
Lip	Gingiva	5.6151638821	0.697299499826	5.7285897372	1.02837611684	-0.178761794305	0.941111111111
Lip	Other	5.6151638821	0.697299499826	5.03515591886	1.4230660843	0.549225845872	1.0
Tongue	Gingiva	5.3621939887	0.742699719982	5.7285897372	1.02837611684	-0.793007417285	1.0
Tongue	Other	5.3621939887	0.742699719982	5.03515591886	1.4230660843	0.424233025908	1.0
Cheek	Other	5.74293713945	0.0	5.03515591886	1.4230660843	0.385256160676	0.98125
Cheek	Gingiva	5.74293713945	0.0	5.7285897372	1.02837611684	0.0133818206965	1.0
