OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
86	28.0677960270451	-5.53821959268932	0.891016579660516	-6.21561901216184	5.11227082868832e-10	2.76062624749169e-08	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus pseudopneumoniae
25	80.3869241951295	4.57809324119664	0.942417314578697	4.8578195353332	1.18685506261948e-06	3.20450866907261e-05	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Actinobacteria_u; 5__Actinobacteria_u_u; 6__Actinobacteria_u_u_u; 7__Actinobacteria_u_u_u_u
143	9.74338762397888	4.16370445881532	0.950575494724965	4.38019334805178	1.18574050588989e-05	0.00021343329106018	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga gingivalis
59	65.0117528836155	4.23999650608678	1.14750762160823	3.69496152029425	0.000219920090515632	0.00277647840856981	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Rothia; 7__Rothia mucilaginosa
74	39.0754596902852	4.13366629059291	1.13093097872474	3.65510041581328	0.000257081334126834	0.00277647840856981	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Capnocytophaga; 7__Capnocytophaga_u
121	8.02046717423308	3.15096184720028	0.929554248480785	3.38975573760224	0.000699549251939046	0.00629594326745142	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus influenzae
108	15.6961264690704	2.67551957090675	1.02479867081495	2.61077580124015	0.00903370959784536	0.0667253191930517	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Bacteroidales_u; 6__Bacteroidales_u_u; 7__Bacteroidales_u_u_u
115	16.1178044109512	-2.57540561310285	0.998289552843887	-2.57981825590195	0.0098852324730447	0.0667253191930517	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Lactobacillales; 5__Streptococcaceae; 6__Streptococcus; 7__Streptococcus mitis
56	71.980867115147	2.70275388673845	1.0974065295066	2.46285566384741	0.0137835390829847	0.0827012344979082	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Oxalobacteraceae; 6__Herbaspirillum; 7__Herbaspirillum_u
71	44.6539207440305	2.53701152257979	1.05024293686979	2.41564254661047	0.0157074729000951	0.0848203536605135	1__Bacteria; 2__Bacteroidetes; 3__Flavobacteriia; 4__Flavobacteriales; 5__Flavobacteriaceae; 6__Elizabethkingia; 7__Elizabethkingia_u
122	12.8001692517766	-2.13049689105497	0.903802332258362	-2.35725978459408	0.0184103622849279	0.0903781421260098	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Bacillales_u; 6__Bacillales_u_u; 7__Bacillales_u_u_u
50	87.137219762801	2.57172429417778	1.15671578564689	2.22329834700022	0.0261956889155659	0.117880600120047	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Micrococcales; 5__Micrococcaceae; 6__Micrococcus; 7__Micrococcus_u
114	14.6687258206312	-2.09932600243389	0.986456184763563	-2.12814926284543	0.033324709961762	0.138425718302704	1__Bacteria; 2__Firmicutes; 3__Bacilli; 4__Bacillales; 5__Staphylococcaceae; 6__Staphylococcus; 7__Staphylococcus epidermidis
29	988.596044309484	2.1862210410424	1.08522734174608	2.01452816100714	0.0439541113047348	0.16953728646112	1__Bacteria; 2__Actinobacteria; 3__Actinobacteria; 4__Propionibacteriales; 5__Propionibacteriaceae; 6__Propionibacterium; 7__Propionibacterium_u
42	161.503083755215	2.10068464455542	1.06128732019316	1.97937410971148	0.0477739012402546	0.171986044464916	1__Bacteria; 2__Firmicutes; 3__Firmicutes_u; 4__Firmicutes_u_u; 5__Firmicutes_u_u_u; 6__Firmicutes_u_u_u_u; 7__Firmicutes_u_u_u_u_u
24	2378.6401050906	2.11605989533001	1.17525336002661	1.80051380179172	0.0717795462682908	0.241364973633828	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas_u
39	18.1361423029151	1.10135462821713	0.639281796052209	1.72279992175343	0.0849247129452358	0.241364973633828	1__Bacteria; 2__Proteobacteria; 3__Alphaproteobacteria; 4__Alphaproteobacteria_u; 5__Alphaproteobacteria_u_u; 6__Alphaproteobacteria_u_u_u; 7__Alphaproteobacteria_u_u_u_u
43	166.190212543565	1.9880667163266	1.14770750943633	1.73220676869406	0.0832367543254205	0.241364973633828	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Moraxellaceae; 6__Acinetobacter; 7__Acinetobacter_u
137	10.6882011052985	1.71575023872629	0.995673881904729	1.72320502717622	0.0848514549615878	0.241364973633828	1__Bacteria; 2__Bacteroidetes; 3__Bacteroidia; 4__Bacteroidales; 5__Prevotellaceae; 6__Prevotella; 7__Prevotella histicola
46	144.80367430486	1.90790614392714	1.12329810180412	1.69848603933619	0.0894160653950369	0.2414233765666	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pseudomonadales; 5__Pseudomonadaceae; 6__Pseudomonas; 7__Pseudomonas fluorescens
70	45.4519154322559	1.84494254062188	1.13555536437686	1.62470505489998	0.104225419772801	0.268008222272918	1__Bacteria; 2__Firmicutes; 3__Negativicutes; 4__Veillonellales; 5__Veillonellaceae; 6__Veillonella; 7__Veillonella_u
84	29.7532346003823	-1.67160755594753	1.04558988993076	-1.59872199611478	0.109882387900961	0.269711315756905	1__Bacteria; 2__Proteobacteria; 3__Gammaproteobacteria; 4__Pasteurellales; 5__Pasteurellaceae; 6__Haemophilus; 7__Haemophilus parainfluenzae
96	19.4423867435441	1.19773292922128	0.772695313257918	1.55007143005861	0.121124372453282	0.284378961412052	1__Bacteria; 2__Proteobacteria; 3__Betaproteobacteria; 4__Burkholderiales; 5__Burkholderiales_n; 6__Aquabacterium; 7__Aquabacterium sp. NJ1
